  TimeWindow  Iteration  ResRel(Neumann-Mesh:Temperature)
     1       1   4.73611063e+00
     1       2   1.92033227e+00
     1       3   8.58607266e-01
     1       4   3.99350079e-01
     1       5   1.89011733e-01
     1       6   9.01732319e-02
     1       7   4.31730980e-02
     1       8   2.07014511e-02
     1       9   9.93177517e-03
     1      10   4.76723193e-03
     1      11   2.28710763e-03
     1      12   1.09655786e-03
     1      13   5.25696952e-04
     1      14   2.51913038e-04
     1      15   1.20728262e-04
     1      16   5.78447274e-05
