  TimeWindow  Iteration  ResRel(Neumann-Mesh:Temperature)
     1       1   4.73610960e+00
     1       2   2.03519872e+00
     1       3   9.56601353e-01
     1       4   4.67121322e-01
     1       5   2.32180920e-01
     1       6   1.16390162e-01
     1       7   5.85842388e-02
     1       8   2.95444302e-02
     1       9   1.49117258e-02
     1      10   7.52844378e-03
     1      11   3.80088535e-03
     1      12   1.91874607e-03
     1      13   9.68394126e-04
     1      14   4.88646003e-04
     1      15   2.46500410e-04
     1      16   1.24328371e-04
     1      17   6.26991716e-05
     1      18   3.16020056e-05
     1      19   1.59276101e-05
     1      20   8.04014835e-06
     1      21   4.02619786e-06
     1      22   2.03743490e-06
     1      23   1.02322838e-06
     1      24   5.16111024e-07
