participant,rank,size,event,timestamp,duration,data
Dirichlet,0,1,_GLOBAL,1715678467286834,697097428.0,
Dirichlet,0,1,construction,1715678467286855,7185.0,
Dirichlet,0,1,construction/configure,1715678467286858,6445.0,
Dirichlet,0,1,solver.initialize,1715678467294042,353.0,
Dirichlet,0,1,initialize,1715678467294397,2727988.0,
Dirichlet,0,1,initialize/m2n.requestPrimaryRankConnection.Neumann,1715678467294427,2549655.0,
Dirichlet,0,1,solver.advance,1715678470022398,148037.0,
Dirichlet,0,1,advance,1715678470170438,79.0,
Dirichlet,0,1,solver.advance,1715678470170518,89789.0,
Dirichlet,0,1,advance,1715678470260308,94.0,
Dirichlet,0,1,solver.advance,1715678470260402,92684.0,
Dirichlet,0,1,advance,1715678470353088,263.0,
Dirichlet,0,1,solver.advance,1715678470353351,162018.0,
Dirichlet,0,1,advance,1715678470515371,1377.0,
Dirichlet,0,1,solver.advance,1715678470516749,101610.0,
Dirichlet,0,1,advance,1715678470618361,281.0,
Dirichlet,0,1,solver.advance,1715678470618642,120526.0,
Dirichlet,0,1,advance,1715678470739169,274.0,
Dirichlet,0,1,solver.advance,1715678470739443,95791.0,
Dirichlet,0,1,advance,1715678470835236,286.0,
Dirichlet,0,1,solver.advance,1715678470835522,101750.0,
Dirichlet,0,1,advance,1715678470937273,279.0,
Dirichlet,0,1,solver.advance,1715678470937552,99525.0,
Dirichlet,0,1,advance,1715678471037079,271.0,
Dirichlet,0,1,solver.advance,1715678471037350,98991.0,
Dirichlet,0,1,advance,1715678471136342,279.0,
Dirichlet,0,1,solver.advance,1715678471136621,105015.0,
Dirichlet,0,1,advance,1715678471241638,262.0,
Dirichlet,0,1,solver.advance,1715678471241900,99632.0,
Dirichlet,0,1,advance,1715678471341534,305.0,
Dirichlet,0,1,solver.advance,1715678471341839,103108.0,
Dirichlet,0,1,advance,1715678471444949,310.0,
Dirichlet,0,1,solver.advance,1715678471445260,101476.0,
Dirichlet,0,1,advance,1715678471546738,291.0,
Dirichlet,0,1,solver.advance,1715678471547029,98230.0,
Dirichlet,0,1,advance,1715678471645261,288.0,
Dirichlet,0,1,solver.advance,1715678471645549,160814.0,
Dirichlet,0,1,advance,1715678471806366,324.0,
Dirichlet,0,1,solver.advance,1715678471806690,118635.0,
Dirichlet,0,1,advance,1715678471926685,91.0,
Dirichlet,0,1,solver.advance,1715678471926776,110001.0,
Dirichlet,0,1,advance,1715678472036778,85.0,
Dirichlet,0,1,solver.advance,1715678472036863,101872.0,
Dirichlet,0,1,advance,1715678472138737,303.0,
Dirichlet,0,1,solver.advance,1715678472139040,133233.0,
Dirichlet,0,1,advance,1715678472272275,294.0,
Dirichlet,0,1,solver.advance,1715678472272569,101189.0,
Dirichlet,0,1,advance,1715678472373760,315.0,
Dirichlet,0,1,solver.advance,1715678472374075,101432.0,
Dirichlet,0,1,advance,1715678472475509,306.0,
Dirichlet,0,1,solver.advance,1715678472475815,107955.0,
Dirichlet,0,1,advance,1715678472583772,282.0,
Dirichlet,0,1,solver.advance,1715678472584055,109047.0,
Dirichlet,0,1,advance,1715678472693104,80.0,
Dirichlet,0,1,solver.advance,1715678472693184,136694.0,
Dirichlet,0,1,advance,1715678472829880,81.0,
Dirichlet,0,1,solver.advance,1715678472829961,103382.0,
Dirichlet,0,1,advance,1715678472933345,311.0,
Dirichlet,0,1,solver.advance,1715678472933657,108631.0,
Dirichlet,0,1,advance,1715678473042290,289.0,
Dirichlet,0,1,solver.advance,1715678473042579,99059.0,
Dirichlet,0,1,advance,1715678473141640,295.0,
Dirichlet,0,1,solver.advance,1715678473141935,99113.0,
Dirichlet,0,1,advance,1715678473241050,119.0,
Dirichlet,0,1,solver.advance,1715678473241169,98863.0,
Dirichlet,0,1,advance,1715678473340034,82.0,
Dirichlet,0,1,solver.advance,1715678473340116,97732.0,
Dirichlet,0,1,advance,1715678473437850,103.0,
Dirichlet,0,1,solver.advance,1715678473437953,96321.0,
Dirichlet,0,1,advance,1715678473534276,309.0,
Dirichlet,0,1,solver.advance,1715678473534585,97062.0,
Dirichlet,0,1,advance,1715678473631649,285.0,
Dirichlet,0,1,solver.advance,1715678473631934,113567.0,
Dirichlet,0,1,advance,1715678473745502,80.0,
Dirichlet,0,1,solver.advance,1715678473745582,111493.0,
Dirichlet,0,1,advance,1715678473857076,82.0,
Dirichlet,0,1,solver.advance,1715678473857158,94728.0,
Dirichlet,0,1,advance,1715678473951887,291.0,
Dirichlet,0,1,solver.advance,1715678473952178,99052.0,
Dirichlet,0,1,advance,1715678474051232,280.0,
Dirichlet,0,1,solver.advance,1715678474051513,99159.0,
Dirichlet,0,1,advance,1715678474150673,286.0,
Dirichlet,0,1,solver.advance,1715678474150960,109078.0,
Dirichlet,0,1,advance,1715678474260040,289.0,
Dirichlet,0,1,solver.advance,1715678474260329,118084.0,
Dirichlet,0,1,advance,1715678474378415,263.0,
Dirichlet,0,1,solver.advance,1715678474378678,99158.0,
Dirichlet,0,1,advance,1715678474477837,285.0,
Dirichlet,0,1,solver.advance,1715678474478123,100083.0,
Dirichlet,0,1,advance,1715678474578208,274.0,
Dirichlet,0,1,solver.advance,1715678474579256,101630.0,
Dirichlet,0,1,advance,1715678474680888,316.0,
Dirichlet,0,1,solver.advance,1715678474681204,114791.0,
